Deformacion;Fuerza
0;-4,272168159
0;-4,766872883
0;-4,995326996
-4,62856E-06;-5,113476276
0,000357633;-3,734324217
0,000791947;-2,609407187
0,001372831;-1,248160601
0,002125126;0,273886651
0,003018438;1,569197655
0,004114481;2,713698864
0,006066345;3,988128185
0,01006897;5,050297737
0,015243701;6,189851284
0,020086409;7,392000675
0,025549806;8,754052162
0,030214779;9,84533596
0,035187395;10,93167496
0,040466887;12,06238937
0,046248881;13,14810658
0,052311987;14,57624817
0,05881743;16,01449013
0,063366531;17,11050224
0,068009287;18,23659325
0,072928211;19,24918938
0,077987539;20,34647942
0,083154704;21,52930641
0,088586473;22,6353302
0,094107118;23,78483391
0,099781888;25,02647018
0,105705055;26,24350548
0,111694102;27,43377113
0,117958083;28,76780319
0,124316496;30,17426872
0,130917901;31,63149261
0,137620829;33,11713028
0,144492384;34,71526718
0,151548471;36,3613205
0,1588025;37,98232269
0,16618908;39,56155777
0,173798425;41,31066895
0,181480449;43,07909393
0,189396518;44,85975266
0,197446043;46,70624542
0,205725;48,63415527
0,214066428;50,61089325
0,222451851;52,51771545
0,230872588;54,51586533
0,235076091;55,55316544
0,239253359;56,57790375
0,243497129;57,57932281
0,247740145;58,63685226
0,256160882;60,54305649
0,260396628;61,55221558
0,268756118;63,54744339
0,272988003;64,57293701
0,277201997;65,57837677
0,281384991;66,65214539
0,289839364;68,59299469
0,294028215;69,69462585
0,29825963;70,78431702
0,302519615;71,87078857
0,306681929;72,95161438
0,310855958;73,96200562
0,315098955;74,9983902
0,319330389;76,00154114
0,323519861;77,04390717
0,327744477;78,16996765
0,33197915;79,3188324
0,336174951;80,35076141
0,340421979;81,3549881
0,344658158;82,41307831
0,348837913;83,50610352
0,35300825;84,67632294
0,357251398;85,75078583
0,361462793;86,89587402
0,365652566;87,99957275
0,369885996;89,08171082
0,374117731;90,18713379
0,378297335;91,41010284
0,382529673;92,64286041
0,386768037;93,82276917
0,390950729;95,00588226
0,395134928;96,22257996
0,399366362;97,49465179
0,403580657;98,72244263
0,407766438;99,95015717
0,41201437;101,2327957
0,416239777;102,4751892
0,420428797;103,6289978
0,424662528;104,8599472
0,42892112;106,0770798
0,433096844;107,3188629
0,437262247;108,5265198
0,441502005;109,740509
0,445729257;110,9529343
0,449912703;112,1514053
0,454133514;113,3536301
0,458363554;114,5638046
0,462550993;115,8454514
0,466786457;117,1128235
0,471020188;118,3875885
0,475199942;119,6800995
0,479387682;120,9385223
0,483636555;122,2397537
0,487850097;123,5932312
0,492031057;124,9841537
0,496264185;126,3354721
0,500504282;127,6565552
0,504704678;128,9321747
0,508941046;130,2376862
0,513181595;131,5224762
0,517366887;132,8366241
0,521537224;134,1523895
0,52576587;135,3951721
0,529986795;136,6230316
0,534172425;137,8748627
0,538409094;139,113205
0,542616609;140,4626007
0,546809321;141,8596802
0,551044446;143,2278137
0,555304582;144,6362915
0,559468441;145,9791565
0,563633957;147,3828888
0,56787944;148,8182068
0,572107484;150,27034
0,576300949;151,720993
0,580526356;153,1526337
0,584758731;154,5164948
0,588961462;155,8214722
0,593203669;157,2210083
0,597440979;158,6380463
0,601613614;160,0746918
0,605795364;161,4524384
0,610034218;162,8267517
0,614237703;164,1720276
0,618429021;165,5340118
0,622667875;166,9420471
0,626897425;168,4087067
0,631082114;169,9392853
0,63531464;171,3737793
0,639549124;172,7899323
0,643728765;174,2274628
0,647915262;175,7522736
0,652151178;177,2966003
0,656357337;178,8258972
0,660548278;180,3424988
0,664794741;181,8867493
