Deformacion;Fuerza
0;-4,260035515
-1,7593E-06;-4,535326481
-3,35866E-06;-4,932298183
-4,95802E-06;-5,039093018
0,000304358;-3,752931833
0,000720352;-2,592948437
0,001293403;-1,249108315
0,002035027;0,134358481
0,00295242;1,33100152
0,004634148;2,617346048
0,00668101;3,791399717
0,010102203;4,996253014
0,013117638;6,037525654
0,017738672;7,256643772
0,021606566;8,541183472
0,025942273;9,687852859
0,03065431;11,11673546
0,034014887;12,23671246
0,037455753;13,28639698
0,041213609;14,57039738
0,045095261;15,79809761
0,049169951;16,94364357
0,05333197;18,10533905
0,057793546;19,40706444
0,062389151;20,64792252
0,067092228;21,95700455
0,072085115;23,3446331
0,077184674;24,72280121
0,082378605;26,06701088
0,087871283;27,57216072
0,09349512;29,04781532
0,099279849;30,57369995
0,105284969;32,18429184
0,111383333;33,82568741
0,117766856;35,5436821
0,124237073;37,32767487
0,130892812;39,17552185
0,137746392;41,200634
0,141205332;42,25381088
0,144766633;43,32915115
0,148371589;44,36577988
0,151989343;45,41970444
0,155623408;46,49817276
0,159354398;47,54943085
0,163146964;48,68147659
0,16693874;49,78276062
0,17070618;50,88302612
0,174590721;51,96234131
0,178548808;53,05708313
0,182516187;54,17132568
0,186492996;55,30511093
0,190564162;56,49962616
0,194687964;57,75883865
0,198808719;59,13678741
0,203014558;60,47265625
0,207277484;61,81970978
0,211539316;63,1931839
0,215793612;64,65159607
0,220154428;66,14222717
0,224516513;67,64504242
0,228826646;69,12277985
0,233209055;70,5586319
0,237601694;72,00679779
0,241950191;73,33053589
0,246321569;74,68831635
0,250705267;76,05807495
0,255073267;77,44161987
0,259379066;78,7430191
0,263754447;80,04070282
0,268142771;81,36628723
0,272483283;82,73200226
0,276867917;84,12101746
0,281243766;85,46411896
0,285591795;86,96440887
0,289959014;88,48600769
0,294374203;90,03668213
0,298720786;91,59770966
0,303028831;93,21604919
0,307404836;94,88232422
0,311803723;96,54095459
0,316144234;98,24903107
0,320526311;100,0153732
0,324915124;101,8268814
0,329270337;103,5719299
0,333658349;105,3625793
0,338057567;107,2017441
0,342407157;109,0717087
0,346718716;110,9290695
0,3511136;112,7722855
0,35549681;114,5906296
0,359821331;116,4399338
0,364207899;118,2242584
0,368599894;120,0214233
0,372945032;121,8871536
0,377317074;123,729126
0,38171067;125,554985
0,38607502;127,3195267
0,390388492;129,1044006
0,3947701;130,9252472
0,399151201;132,730957
0,403484704;134,5153809
0,407874434;136,3695984
0,412261001;138,2029724
0,41661145;139,9835815
0,420986655;141,7653351
0,425409029;143,5702972
0,429760259;145,4202881
0,43405901;147,2635345
0,438435034;149,0856476
0,442831051;151,0379028
0,44717537;153,0085144
0,451538119;154,9275665
0,455925818;156,9187164
0,460284233;158,9710541
0,464664397;161,0493774
0,469059906;163,1261597
0,473411448;165,178299
0,477725428;167,2785492
0,482114377;169,3716278
0,486507192;171,448761
0,490839718;173,487915
0,495221795;175,5641632
0,499613946;177,6197357
0,503966309;179,5856476
0,508350924;181,4422455
0,512757327;183,3737335
0,517118944;185,3733215
0,521423942;187,2450256
0,525797741;189,1349182
0,530180443;191,0037231
0,534519529;192,9012756
0,538904652;194,8007355
0,543284503;196,6343994
0,54762726;198,5998688
0,551989814;200,693222
0,556401996;202,7100677
0,560763261;204,6732941
0,565072125;206,718399
0,569448306;208,7866516
0,573836631;210,8723297
0,578180324;212,9262848
0,582561464;214,936615
0,586957442;216,9384918
0,591313631;218,8448181
0,595699222;220,7555084
0,600095551;222,5964966
0,604448695;224,4812469
0,608767438;226,336853
0,613160253;228,0955353
0,6175337;229,8224792
0,621858222;231,6018372
0,626244009;233,3795319
0,630639986;235,239151
0,634981923;237,1342163
0,639356191;238,918045
0,643753301;240,7379456
0,648106444;242,5480652
0,652422805;244,4099274
0,65680621;246,3316956
0,661187116;248,2543945
0,665531317;250,1701508
0,669913707;252,1430206
0,674298517;254,0728455
0,678653261;255,960083
0,68302995;257,9668274
0,687448965;260,0155945
0,69180613;262,0669861
0,696103788;264,1124573
0,70047829;266,1390991
0,704883248;268,2050476
0,709214642;270,2317505
0,713576415;272,2713318
0,717965911;274,3735352
0,722315032;276,5522156
0,726693283;278,6861877
0,731093478;280,8244934
0,735445332;282,9867554
0,739766809;285,2088318
0,744165676;287,4943542
0,748540568;289,7561646
0,752876101;292,0977173
0,757263645;294,4341125
0,761663606;296,7640381
0,766019834;299,071991
0,770388166;301,4398193
0,77479086;303,8340759
0,779153413;306,2874146
0,783458646;308,7296448
0,787837053;311,2051697
0,792216397;313,7098083
0,796559427;316,2315369
0,800949547;318,7715149
0,805321706;321,3406982
0,809665752;324,0186462
0,814031976;326,7232971
0,818445603;329,3833618
0,822798395;331,9973145
0,827108235;334,6526489
0,831489843;337,3261719
0,835887071;340,0291138
0,840222994;342,6769409
0,844592732;345,305542
0,848991912;347,9252014
0,853354544;350,4759216
0,857736152;352,9871521
0,862135644;355,5383301
0,866482579;358,0905457
0,870798745;360,6382141
0,875197768;363,1197815
0,879576175;365,5651855
0,883900853;368,0478821
0,888285507;370,5341187
0,892680079;373,0371704
0,897022016;375,5597229
0,901394878;378,0420837
0,905789059;380,4910278
0,910142866;382,8851318
0,914462703;385,2495117
0,918843062;387,6319275
0,923221625;389,9483337
0,927565826;392,2293091
0,931960242;394,5054321
0,936337165;396,6631775
0,940688395;398,7148132
0,945068441;400,7512817
0,949488862;402,8507385
0,953846184;404,9390869
0,95814064;406,9641113
0,962511549;408,9696045
0,966916664;410,9946594
0,971256336;412,983551
0,975627714;414,9495239
0,980014008;416,9400024
0,984370314;418,9768372
0,98873607;421,0167542
0,993137202;422,9975281
0,997496632;424,9902649
1,001810376;427,0059814
1,006198389;428,952301
1,010575858;430,8726196
1,01490038;432,8286133
1,019302761;434,7402649
1,023698895;436,6145935
1,028046455;438,4441223
1,032418458;440,2815857
1,036821542;442,0567627
1,041187766;443,7785645
1,045507368;445,4692688
1,04988187;447,2262878
1,054259652;448,9334106
1,058592842;450,5771484
1,062980542;452,2501831
1,067364806;453,9443359
1,071703463;455,6806946
1,076071405;457,3826904
1,080488702;459,0596924
1,084840244;460,7735901
1,089140323;462,4796753
1,093530053;464,1764221
1,097923844;465,9701233
1,102263048;467,7831421
1,10663919;469,5639038
1,111028842;471,3399658
1,115396237;473,0447693
1,119776987;474,7472534
1,124181945;476,5280762
1,128528255;478,3310547
1,132840438;480,1408691
1,137234854;481,9035339
1,141611465;483,6699219
1,145935987;485,4144897
1,150327513;487,2071228
1,154716775;489,0324402
1,1590559;490,9601746
1,163436493;492,916687
1,167829035;494,8347778
1,172185966;496,7346802
1,17650221;498,6377258
1,180887176;500,6055603
1,185263318;502,5302734
1,189603537;504,5419006
1,193997718;506,5397034
1,198382216;508,4707031
1,202730713;510,311676
1,207108026;512,1978149
1,211521029;514,0692749
1,215878272;515,9985352
1,22017835;517,9498291
1,224555429;519,8966675
1,228951329;521,8893433
1,233290689;523,8428955
1,237663863;525,7572021
1,242054843;527,760437
1,246404042;529,8634644
1,25077503;531,9105225
1,2551746;533,9844971
1,259530906;536,0588379
1,263845666;538,1422729
1,268237661;540,232666
1,272622315;542,3499756
1,276947462;544,501709
1,281341409;546,7617798
1,285740433;549,0061035
1,290095489;551,1933594
1,294465618;553,4240112
1,298867218;555,742981
1,303229616;558,0864258
1,307537191;560,4475098
1,311914661;562,8144531
1,31629994;565,1905518
1,320634302;567,6461792
1,325015051;570,074707
1,329393926;572,5484619
1,333743282;575,1798096
1,338113098;577,8997803
1,342530396;580,5906982
1,346881938;583,2158203
1,351185218;585,949646
1,355565343;588,7201538
1,35996874;591,5427856
1,364307162;594,3540039
1,368683382;597,2301636
1,373071316;600,1027832
1,3774277;602,8438721
1,381812355;605,593811
1,386213252;608,4337158
1,390567294;611,2957153
1,394879789;614,0667725
1,399271784;616,8700562
1,40365472;619,5993652
1,407979242;622,3060913
1,412367645;624,9936523
1,416753704;627,6899414
1,421093533;630,4806519
1,425470221;633,2244873
1,429866121;635,8529663
1,43422516;638,5360107
1,438545465;641,2906494
1,442924028;644,0691528
1,447304309;646,8652954
1,451637109;649,6694336
1,45603785;652,4307861
1,460424535;655,1358032
1,464770298;657,784668
1,469146987;660,4213257
1,473562254;663,1929321
1,477923011;665,9894409
1,482225667;668,7468872
1,486602824;671,4552612
1,490996224;674,149231
1,495330898;676,8995361
1,499698372;679,7554321
1,504080527;682,7186279
1,508437536;685,774353
1,512815318;688,8347778
1,517216059;691,777832
1,52156151;694,6865234
1,525879004;697,602478
1,530277871;700,5640869
1,534664868;703,6225586
1,538992357;706,5338745
1,543374513;709,4666748
1,547770881;712,2866821
1,552130545;715,0355225
1,556509889;717,8378296
1,560903289;720,7436523
1,56527373;723,6810913
1,569577948;726,6137695
1,57395245;729,467041
1,578345382;732,2827148
1,582679431;735,2315674
1,587062367;738,1195679
1,591435464;741,1384277
1,595777947;744,2220459
1,600152449;747,3121338
1,604567872;750,3207397
1,608920508;753,3047485
1,613222851;756,4092407
1,617604694;759,6472778
1,622005591;762,9229736
1,626348075;766,2183838
1,63072492;769,5290527
1,635110667;772,8341064
1,639467676;776,1427612
1,64384905;779,4797974
1,648256664;782,9264526
1,652606644;786,4362183
1,656921483;789,9255371
1,661310198;793,2787476
1,665686886;796,6218872
1,670020155;799,9904175
1,674402934;803,4411011
1,678795242;806,8844604
1,683140224;810,3482056
1,687507698;813,765564
1,691907971;817,1471558
1,696267479;820,5368652
1,700584191;823,9800415
1,704966502;827,5457764
1,709340536;831,0889282
1,713679583;834,607605
1,718069079;838,0540161
1,722460605;841,4995117
1,726815115;844,932312
1,731184151;848,4371338
1,735603635;851,9216309
1,73996408;855,3618774
1,744262518;858,6955566
1,7486403;862,0205688
1,753032451;865,3751831
1,757370874;868,7670288
1,761737723;872,1384888
1,766128624;875,5679932
1,770489538;878,9604492
1,77485951;882,3693237
1,77925541;885,7979736
1,783602423;889,2648926
1,787921635;892,8486328
1,792312224;896,4284668
1,796696097;900,0244141
1,801029365;903,6196289
1,805411052;907,3010864
1,809807264;910,9369507
1,814162711;914,6079712
1,818548146;918,2796021
1,822945764;922,0272217
1,827316205;925,7904053
1,831620579;929,4747314
1,835992425;933,2297363
1,840374424;937,0650024
1,84471519;940,9447021
1,849104217;944,8222046
1,853481686;948,7180176
1,857821515;952,7167969
1,862192268;956,6806641
1,866606598;960,6705933
1,870958765;964,7095947
1,875264544;968,809082
1,879644825;972,8587036
1,884035258;976,8630371
1,888375243;980,8258667
1,892756305;984,8566895
1,897150799;988,9439087
1,901509057;992,9641113
1,905886995;997,0076904
1,910292578;1001,029236
1,914645214;1004,993286
1,918964738;1008,99353
1,923355171;1013,038818
1,9277253;1017,109131
1,93205154;1021,134338
1,936446034;1025,129028
1,940837248;1029,093628
1,945178325;1033,117676
1,949552046;1037,168945
1,953942323;1041,196289
1,958300582;1045,280151
1,962619949;1049,325928
1,967008977;1053,315186
1,971385197;1057,298218
1,975730023;1061,356201
1,980114209;1065,414307
1,984500737;1069,394775
1,988849;1073,339844
1,993216942;1077,288086
1,997634239;1081,245605
2,001994372;1085,168335
2,00629937;1089,025391
2,010667781;1092,905151
2,015073208;1096,816406
2,019414286;1100,724121
2,023781603;1104,64856
2,028168912;1108,6427
2,032520923;1112,590942
2,036892145;1116,565186
2,041297104;1120,569946
2,045649583;1124,573975
2,049964734;1128,692627
2,054357822;1132,810669
2,058741695;1136,892944
2,063075901;1140,998901
2,067461648;1145,133911
2,071858485;1149,300415
2,076210027;1153,429688
2,080583592;1157,57959
2,084981678;1161,723755
2,089351495;1165,916138
2,093658836;1170,084961
2,098035056;1174,292725
2,102408308;1178,504028
2,106746262;1182,705688
2,111138726;1186,88855
2,11551807;1191,113525
2,119860397;1195,491943
2,124227714;1199,825439
2,12864345;1204,130737
2,13299999;1208,407715
2,137305926;1212,740112
2,141684801;1217,107178
2,146081169;1221,48938
2,150416156;1225,841431
2,154792376;1230,196777
2,159182809;1234,545044
2,163547158;1238,864014
2,167929938;1243,171265
2,172328962;1247,540649
2,176680504;1251,96228
2,18099831;1256,293579
2,185392804;1260,627808
2,189774803;1264,986938
2,194093389;1269,395996
2,198485384;1273,828613
2,202874099;1278,250366
2,207215177;1282,756104
2,211594677;1287,281616
2,215991982;1291,820801
2,220348054;1296,366333
2,224657582;1300,978271
2,229039581;1305,5802
2,233426109;1310,247925
2,237763907;1314,951904
2,242151685;1319,605469
2,246534621;1324,237305
2,250880072;1328,784546
2,255261603;1333,337402
2,259681711;1337,965454
2,264028256;1342,612183
2,268330599;1347,247559
2,272708381;1351,86499
2,277109435;1356,519287
2,281451137;1361,105347
2,285811426;1365,749756
2,290189833;1370,491821
2,294557619;1375,301636
2,298939461;1380,096191
