Deformacion;Fuerza
0;-5,017303944
-1,73797E-07;-5,333583355
-1,91176E-06;-5,828269958
-1,21658E-06;-5,982090473
0,000655908;-4,52398634
0,001241082;-3,357935905
0,002015867;-1,927369952
0,002978526;-0,525484681
0,004125584;0,86290288
0,005467467;1,958891749
0,008646034;3,289720535
0,012657607;4,383439064
0,017427108;5,539808273
0,021499683;6,557672977
0,025910469;7,571107864
0,030894954;8,620529175
0,038104906;9,877652168
0,043921009;10,89077282
0,050318287;12,06454849
0,057067507;13,37787533
0,064288409;14,72991848
0,071895485;16,10236549
0,079940181;17,47824097
0,0855738;18,52253342
0,091246868;19,63768005
0,097280742;20,78586197
0,103473456;21,9294548
0,109802085;23,04322243
0,116389331;24,1749649
0,123099785;25,2460041
0,13009041;26,35572433
0,137166013;27,45931816
0,144461302;28,73194122
0,15195976;29,84621811
0,159658078;31,1042614
0,167543749;32,37917709
0,175607916;33,72733688
0,183883409;35,03016663
0,192275715;36,50005341
0,200916517;37,89255905
0,209780504;39,39493561
0,218772909;40,71982574
0,228046863;42,10422134
0,237326906;43,5098877
0,246816897;44,92908096
0,256250942;46,22086716
0,265738133;47,75058365
0,275272973;49,32831955
0,28469552;50,81646347
0,294215594;52,41234207
0,303704184;54,05952835
0,313201812;55,45912552
0,322741171;56,88500214
0,332163548;58,37097931
0,341682922;59,76598358
0,351173253;61,24529648
0,360629362;62,93326569
0,370197044;64,59545898
0,379596105;66,26990509
0,389132515;68,10198975
0,398612959;69,93309784
0,408115467;71,62348175
0,417661211;73,26580048
0,4270817;74,94735718
0,436600205;76,47940826
0,446077678;77,98548126
0,455571657;79,58702087
0,465096059;81,23806
0,474531824;82,88464355
0,48403692;84,62154388
0,49353442;86,2751236
0,50302492;87,86192322
0,512585304;89,4109726
0,521979189;90,90485382
0,531517126;92,28694916
0,540987132;93,71522522
0,550479541;95,25293732
0,560018709;96,77622986
0,56943504;98,22467804
0,578967589;99,76929474
0,588455161;101,3680954
0,597955929;102,8710251
0,607500655;104,3920212
0,616916604;106,0449371
0,626421531;107,7122803
0,635919201;109,4188995
0,645379278;111,2132721
0,65494539;113,1207199
0,664340335;114,9990082
0,673875133;116,9842911
0,683365675;118,9114075
0,692863134;120,7670746
0,702414819;122,6255798
0,707120353;123,6303406
0,716611023;125,4922104
0,726052897;127,3215179
0,735601273;129,2541351
0,740305237;130,3044739
0,745080656;131,3287354
0,749848097;132,3375702
0,759271641;134,3476563
0,764040864;135,406189
0,768793285;136,4460602
0,7735065;137,5833282
0,778285227;138,672699
0,783045116;139,6883392
0,792539435;141,6055756
0,797336747;142,6364136
0,802047331;143,6379395
0,806731014;144,6621552
0,8162726;146,6503143
0,825734587;148,687027
0,830494221;149,7297058
0,835215582;150,8448486
